movie_id,title,genres,imdbId,poster_path,tmdbId
1,Toy Story (1995),"['Animation', ""Children's"", 'Comedy']",114709.0,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,862.0
2,Jumanji (1995),"['Adventure', ""Children's"", 'Fantasy']",113497.0,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,8844.0
3,Grumpier Old Men (1995),"['Comedy', 'Romance']",113228.0,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,15602.0
4,Waiting to Exhale (1995),"['Comedy', 'Drama']",114885.0,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,31357.0
5,Father of the Bride Part II (1995),['Comedy'],113041.0,/e64sOI48hQXyru7naBFyssKFxVd.jpg,11862.0
6,Heat (1995),"['Action', 'Crime', 'Thriller']",113277.0,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,949.0
7,Sabrina (1995),"['Comedy', 'Romance']",114319.0,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,11860.0
8,Tom and Huck (1995),"['Adventure', ""Children's""]",112302.0,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,45325.0
9,Sudden Death (1995),['Action'],114576.0,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,9091.0
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']",113189.0,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,710.0
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']",112346.0,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,9087.0
12,Dracula: Dead and Loving It (1995),"['Comedy', 'Horror']",112896.0,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,12110.0
13,Balto (1995),"['Animation', ""Children's""]",112453.0,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,21032.0
14,Nixon (1995),['Drama'],113987.0,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,10858.0
15,Cutthroat Island (1995),"['Action', 'Adventure', 'Romance']",112760.0,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,1408.0
16,Casino (1995),"['Drama', 'Thriller']",112641.0,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,524.0
17,Sense and Sensibility (1995),"['Drama', 'Romance']",114388.0,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,4584.0
18,Four Rooms (1995),['Thriller'],113101.0,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,5.0
19,Ace Ventura: When Nature Calls (1995),['Comedy'],112281.0,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,9273.0
20,Money Train (1995),['Action'],113845.0,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,11517.0
21,Get Shorty (1995),"['Action', 'Comedy', 'Drama']",113161.0,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,8012.0
